Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
632,Zach Pop,25,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,popza01
633,Zach Pop,25,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,popza01
634,Sean Poppen,28,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,poppese01
635,Nick Pratto*,23,KCR,AL,30,107,92,9,16,5,1,3,8,0,0,12,38,.174,.271,.348,.619,75,32,5,1,0,2,0,3/7H9,prattni01
636,David Price*,36,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,priceda01
637,Jurickson Profar#,29,SDP,NL,115,503,435,68,105,26,2,12,47,5,1,61,74,.241,.337,.393,.730,112,171,10,3,2,2,0,*7/DH,profaju01
638,Albert Pujols,42,STL,NL,70,226,197,25,53,9,0,13,37,1,2,19,37,.269,.345,.513,.858,145,101,8,6,0,4,1,DH3/1,pujolal01
639,Roman Quinn#,29,TOT,MLB,44,87,79,15,17,3,2,0,7,4,3,7,36,.215,.287,.304,.591,71,24,0,1,0,0,0,87H/9,quinnro01
640,Roman Quinn#,29,PHI,NL,23,40,37,8,6,1,0,0,3,4,1,3,15,.162,.225,.189,.414,19,7,0,0,0,0,0,8/H79,quinnro01
641,Roman Quinn#,29,TBR,AL,21,47,42,7,11,2,2,0,4,0,2,4,21,.262,.340,.405,.745,119,17,0,1,0,0,0,/87H9,quinnro01
642,Cal Raleigh#,25,SEA,AL,88,307,275,31,57,15,1,18,42,1,0,27,93,.207,.280,.465,.746,115,128,4,2,0,3,0,*2H,raleica01
643,Luke Raley*,27,TBR,AL,22,72,61,7,12,2,0,1,4,0,0,7,24,.197,.306,.279,.584,74,17,1,3,0,1,0,/97D3H,raleylu01
644,Harold Ramirez,27,TBR,AL,82,281,257,34,85,17,0,5,36,3,5,16,38,.331,.377,.455,.832,144,117,4,5,0,3,1,D9H3/7,ramirha02
645,Jose Ramirez#,29,CLE,AL,116,501,445,67,125,37,4,23,99,14,5,47,51,.281,.351,.537,.888,152,239,4,4,0,5,8,*5D,ramirjo01
646,Noe Ramirez,32,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,ramirno01
647,Heliot Ramos,22,SFG,NL,7,14,13,2,2,0,0,0,0,0,0,1,3,.154,.214,.154,.368,7,2,1,0,0,0,0,/97H,ramoshe02
648,J.T. Realmuto,31,PHI,NL,102,413,368,53,97,18,4,13,56,15,0,32,89,.264,.334,.440,.774,116,162,6,9,0,4,0,*2/H3D,realmjt01
649,Jake Reed,29,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,reedja02
650,Jake Reed,29,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,reedja02
